"priority";"id";"year";"theme";"focus";"contexts";"cognitive";"difficulty";"question";"optionA";"optionB";"optionC";"optionD";"correct";"solution";"errorHypothesis";"signature";"reviewReason";"currentStatus"
"11";"D12E-H";"12.º";"Exponenciais e logaritmos";"Equações";"diagnostic";"Raciocínio";"3";"Se log₂(x)=4, então x é...";"6";"8";"16";"32";"C";"x=2⁴=16.";"Pode existir dificuldade em converter entre a forma logarítmica e exponencial.";"12-expl:equacoes:hard";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"12";"D12E-P";"12.º";"Exponenciais e logaritmos";"Logaritmos";"diagnostic";"Compreensão";"1";"Quanto vale log₁₀(100)?";"1";"10";"2";"100";"C";"10²=100, por isso log₁₀(100)=2.";"A dificuldade pode estar na definição elementar de logaritmo.";"12-expl:Logaritmos:D12E";"diagnóstico · tema-núcleo · probe · foco sem revisão";"prototype"
"13";"D12P-A";"12.º";"Probabilidades";"Probabilidade condicionada";"diagnostic";"Aplicação";"2";"P(A∩B)=0,18 e P(B)=0,60. Quanto vale P(A|B)?";"0,108";"0,42";"0,30";"0,78";"C";"P(A|B)=0,18/0,60=0,30.";"Pode estar a falhar o condicionamento ou a operação necessária.";"12-prob:Probabilidade condicionada:D12P";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"14";"D12P-E";"12.º";"Probabilidades";"Acontecimentos";"diagnostic";"Compreensão";"1";"Se P(A)=0,35, qual é P(Aᶜ)?";"0,35";"1,35";"0,65";"0";"C";"P(Aᶜ)=1−0,35=0,65.";"Pode existir uma dificuldade numa propriedade elementar da probabilidade.";"12-prob:complementar:easy";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"15";"D12P-H";"12.º";"Probabilidades";"Independência";"diagnostic";"Raciocínio";"3";"P(A)=0,5, P(B)=0,4 e P(A∩B)=0,2. Que conclusão é correta?";"A e B são incompatíveis";"A e B são independentes";"A=B";"B é complementar de A";"B";"0,5×0,4=0,2, logo os acontecimentos satisfazem o critério de independência.";"Pode existir dificuldade em distinguir independência de incompatibilidade.";"12-prob:independencia:hard";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"16";"D10G-A";"10.º";"Geometria analítica";"Coordenadas";"diagnostic";"Aplicação";"2";"Qual é o ponto médio de A(2,4) e B(6,8)?";"(8,12)";"(4,6)";"(2,2)";"(3,4)";"B";"M=((2+6)/2,(4+8)/2)=(4,6).";"Pode haver dificuldade no uso de coordenadas ou na média de cada componente.";"10-ga:Coordenadas:D10G";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"17";"D11C-A";"11.º";"Contagem";"Combinações";"diagnostic";"Aplicação";"2";"De 6 alunos, quantas equipas diferentes de 2 podem ser formadas?";"15";"12";"30";"36";"A";"Como a ordem não interessa, C(6,2)=15.";"Pode haver confusão entre escolhas ordenadas e não ordenadas.";"11-cont:Combinações:D11C";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"18";"D12P-P";"12.º";"Probabilidades";"Probabilidade condicionada";"diagnostic";"Compreensão";"1";"Em P(A|B), qual é o universo relevante depois de sabermos que B ocorreu?";"O universo original inteiro";"Apenas B";"Apenas A";"A∪B";"B";"A condição B restringe o universo relevante ao acontecimento B.";"A dificuldade pode estar no significado da condição, e não no cálculo.";"12-prob:Probabilidade condicionada:D12P";"diagnóstico · tema-núcleo · probe · foco sem revisão";"prototype"
"19";"D10G-P";"10.º";"Geometria analítica";"Vetores";"diagnostic";"Aplicação";"1";"Se A(1,2) e B(4,6), então o vetor AB é...";"(5,8)";"(−3,−4)";"(3,4)";"(4,6)";"C";"AB=B−A=(4−1,6−2)=(3,4).";"A dificuldade pode estar numa operação básica com coordenadas.";"10-ga:Vetores:D10G";"diagnóstico · tema-núcleo · probe · foco sem revisão";"prototype"
"20";"D11C-P";"11.º";"Contagem";"Ordem";"diagnostic";"Compreensão";"1";"Escolher Ana e Bruno para uma equipa sem cargos é diferente de escolher Bruno e Ana?";"Sim";"Só se forem de turmas diferentes";"Só se houver mais de 2 pessoas";"Não";"D";"Sem cargos, a equipa é a mesma: a ordem não interessa.";"A dificuldade pode estar em reconhecer quando a ordem interessa.";"11-cont:Ordem:D11C";"diagnóstico · tema-núcleo · probe · foco sem revisão";"prototype"
"21";"BG10F-REP-1";"10.º";"Funções";"Representações";"mission | training | exam";"Aplicação";"2";"O gráfico de uma função afim passa pelos pontos (0,3) e (2,7). Qual pode ser a sua expressão?";"f(x)=3x+2";"f(x)=2x+7";"f(x)=4x+3";"f(x)=2x+3";"D";"O declive é (7−3)/(2−0)=2 e f(0)=3, logo f(x)=2x+3.";"Pode existir dificuldade em relacionar representação gráfica, declive e expressão algébrica.";"10-fun:Representações:beta-gap-1";"mini-exame · missões · foco sem revisão";"prototype"
"22";"BG12FC-ASS-1";"12.º";"Continuidade e derivabilidade";"Assíntotas";"mission | training | exam";"Aplicação";"2";"Considere f(x)=(2x+1)/(x−3). Qual é uma assíntota vertical do gráfico de f?";"x=3";"y=3";"x=2";"y=2";"A";"O denominador anula-se em x=3 e o numerador não, logo x=3 é uma assíntota vertical.";"Pode existir dificuldade em distinguir assíntotas verticais de horizontais ou em analisar o denominador.";"12-fcont:Assíntotas:beta-gap-1";"mini-exame · missões · foco sem revisão";"prototype"
"23";"BG12FC-CON-1";"12.º";"Continuidade e derivabilidade";"Continuidade";"mission | training | exam";"Raciocínio";"2";"Considere f(x)=(x²−1)/(x−1), para x≠1, e f(1)=k. Qual deve ser o valor de k para f ser contínua em x=1?";"0";"2";"1";"Não existe tal valor";"B";"Para x≠1, f(x)=x+1. Assim, lim(x→1)f(x)=2. Para haver continuidade é necessário f(1)=2.";"Pode existir dificuldade em usar a igualdade entre limite e valor da função para garantir continuidade.";"12-fcont:Continuidade:beta-gap-1";"mini-exame · missões · foco sem revisão";"prototype"
"24";"BG12FC-DER-1";"12.º";"Continuidade e derivabilidade";"Derivabilidade";"mission | training | exam";"Compreensão";"2";"Se uma função f é derivável em x=2, qual das afirmações é necessariamente verdadeira?";"f(2)=0";"f tem um máximo em x=2";"f é contínua em x=2";"f'(2)=0";"C";"A derivabilidade num ponto implica continuidade nesse ponto. As restantes afirmações não são necessárias.";"Pode existir confusão entre derivabilidade, continuidade e a condição de extremo.";"12-fcont:Derivabilidade:beta-gap-1";"mini-exame · missões · foco sem revisão";"prototype"
"25";"CV51-11CD-OPT-1";"11.º";"Cálculo diferencial";"Otimização";"mission | training | exam";"Modelação";"3";"Um retângulo tem perímetro 20. Se um dos lados mede x, a área pode escrever-se A(x)=x(10−x). Qual é a área máxima possível?";"20";"24";"25";"50";"C";"A(x)=−x²+10x é uma parábola com máximo no vértice x=5. Logo A(5)=25.";"Pode existir dificuldade em transformar uma restrição geométrica numa função a otimizar.";"11-cd:Otimização:cv51-1";"mini-exame · missões · foco sem revisão";"prototype"
"26";"CV51-11CD-OPT-2";"11.º";"Cálculo diferencial";"Otimização";"mission | training | exam";"Aplicação";"2";"Considere f(x)=−x²+6x+1. Para que valor de x a função atinge o seu máximo?";"1";"2";"6";"3";"D";"f'(x)=−2x+6. O ponto crítico verifica −2x+6=0, logo x=3; como a parábola é côncava, é máximo.";"Pode existir dificuldade em localizar um extremo usando a derivada.";"11-cd:Otimização:cv51-2";"mini-exame · missões · foco sem revisão";"prototype"
"27";"CV51-11CD-TV-1";"11.º";"Cálculo diferencial";"Taxa de variação";"mission | training | exam";"Aplicação";"2";"A posição de uma partícula é s(t)=t²+2t, em metros. Qual é a taxa média de variação de s entre t=1 e t=3?";"4 m/s";"5 m/s";"12 m/s";"6 m/s";"D";"s(3)=15 e s(1)=3. A taxa média é (15−3)/(3−1)=12/2=6 m/s.";"Pode existir dificuldade em calcular uma taxa média de variação a partir de valores da função.";"11-cd:Taxa de variação:cv51-1";"mini-exame · missões · foco sem revisão";"prototype"
"28";"CV51-11CD-TV-2";"11.º";"Cálculo diferencial";"Taxa de variação";"mission | training | exam";"Procedimento";"2";"Se f(x)=3x²−1, qual é a taxa de variação instantânea de f no ponto de abcissa x=2?";"6";"9";"12";"18";"C";"f'(x)=6x. Assim, f'(2)=12.";"Pode existir dificuldade em relacionar taxa de variação instantânea com derivada.";"11-cd:Taxa de variação:cv51-2";"mini-exame · missões · foco sem revisão";"prototype"
"29";"CV51-12FCD-APL-1";"12.º";"Função composta e derivadas";"Aplicações";"mission | training | exam";"Aplicação";"3";"O raio de um círculo varia segundo r(t)=t²+1. Sabendo que A=πr², qual é a taxa de variação da área no instante t=1?";"4π";"6π";"16π";"8π";"D";"A'(t)=2πr(t)r'(t). Em t=1, r=2 e r'=2, logo A'(1)=2π·2·2=8π.";"Pode existir dificuldade em combinar composição, derivação e interpretação de uma taxa num contexto.";"12-fcd:Aplicações:cv51-1";"mini-exame · missões · foco sem revisão";"prototype"
"30";"CV51-12FCD-APL-2";"12.º";"Função composta e derivadas";"Aplicações";"mission | training | exam";"Aplicação";"3";"A posição de uma partícula é s(t)=(t²+1)². Qual é a sua velocidade no instante t=1?";"4";"6";"8";"16";"C";"s'(t)=2(t²+1)·2t=4t(t²+1). Assim, s'(1)=8.";"Pode existir dificuldade em aplicar a derivada de uma função composta num problema de movimento.";"12-fcd:Aplicações:cv51-2";"mini-exame · missões · foco sem revisão";"prototype"
