"schema";"priority";"id";"version";"year";"theme";"focus";"contexts";"cognitive";"difficulty";"question";"option_A";"option_B";"option_C";"option_D";"correct";"solution";"error_hypothesis";"semantic_signature";"why_priority";"reviewer";"decision";"note";"check_math";"check_clarity";"check_unique";"check_distractors";"check_solution";"check_taxonomy";"check_difficulty";"check_hypothesis"
"teacher-review-v1";"11";"D12P-A";"1";"12.º";"Probabilidades";"Probabilidade condicionada";"diagnostic";"Aplicação";"2";"P(A∩B)=0,18 e P(B)=0,60. Quanto vale P(A|B)?";"0,30";"0,108";"0,42";"0,78";"A";"P(A|B)=0,18/0,60=0,30.";"Pode estar a falhar o condicionamento ou a operação necessária.";"12-prob:Probabilidade condicionada:D12P";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"12";"D10G-A";"1";"10.º";"Geometria analítica";"Coordenadas";"diagnostic";"Aplicação";"2";"Qual é o ponto médio de A(2,4) e B(6,8)?";"(4,6)";"(8,12)";"(2,2)";"(3,4)";"A";"M=((2+6)/2,(4+8)/2)=(4,6).";"Pode haver dificuldade no uso de coordenadas ou na média de cada componente.";"10-ga:Coordenadas:D10G";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"13";"D11C-A";"1";"11.º";"Contagem";"Combinações";"diagnostic";"Aplicação";"2";"De 6 alunos, quantas equipas diferentes de 2 podem ser formadas?";"12";"15";"30";"36";"B";"Como a ordem não interessa, C(6,2)=15.";"Pode haver confusão entre escolhas ordenadas e não ordenadas.";"11-cont:Combinações:D11C";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"14";"D10F-P";"1";"10.º";"Funções";"Domínio e zeros";"diagnostic";"Compreensão";"1";"Se f(3)=0, o que significa geometricamente?";"O gráfico passa por (0,3)";"3 é um zero da função";"A função é constante";"O domínio termina em 3";"B";"f(3)=0 significa que x=3 é um zero da função.";"A dificuldade pode estar no próprio significado de zero de uma função.";"10-fun:Domínio e zeros:D10F";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"15";"D11D-P";"1";"11.º";"Cálculo diferencial";"Derivadas";"diagnostic";"Procedimento";"1";"Qual é a derivada de f(x)=x²?";"x";"2x";"x²/2";"2";"B";"Pela regra da potência, (x²)'=2x.";"A dificuldade pode estar numa regra elementar de derivação.";"11-cd:Derivadas:D11D";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"16";"D12C-A";"1";"12.º";"Números complexos";"Módulo e argumento";"diagnostic";"Aplicação";"2";"Qual é o módulo do número complexo z=3+4i?";"3";"4";"5";"7";"C";"|z|=√(3²+4²)=5.";"Pode haver dificuldade no conceito ou cálculo do módulo.";"12-cplx:Módulo e argumento:D12C";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"17";"D12E-P";"1";"12.º";"Exponenciais e logaritmos";"Logaritmos";"diagnostic";"Compreensão";"1";"Quanto vale log₁₀(100)?";"1";"2";"10";"100";"B";"10²=100, por isso log₁₀(100)=2.";"A dificuldade pode estar na definição elementar de logaritmo.";"12-expl:Logaritmos:D12E";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"18";"D12P-P";"1";"12.º";"Probabilidades";"Probabilidade condicionada";"diagnostic";"Compreensão";"1";"Em P(A|B), qual é o universo relevante depois de sabermos que B ocorreu?";"O universo original inteiro";"Apenas B";"Apenas A";"A∪B";"B";"A condição B restringe o universo relevante ao acontecimento B.";"A dificuldade pode estar no significado da condição, e não no cálculo.";"12-prob:Probabilidade condicionada:D12P";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"19";"D10G-P";"1";"10.º";"Geometria analítica";"Vetores";"diagnostic";"Aplicação";"1";"Se A(1,2) e B(4,6), então o vetor AB é...";"(5,8)";"(3,4)";"(−3,−4)";"(4,6)";"B";"AB=B−A=(4−1,6−2)=(3,4).";"A dificuldade pode estar numa operação básica com coordenadas.";"10-ga:Vetores:D10G";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"20";"D11C-P";"1";"11.º";"Contagem";"Ordem";"diagnostic";"Compreensão";"1";"Escolher Ana e Bruno para uma equipa sem cargos é diferente de escolher Bruno e Ana?";"Sim";"Não";"Só se forem de turmas diferentes";"Só se houver mais de 2 pessoas";"B";"Sem cargos, a equipa é a mesma: a ordem não interessa.";"A dificuldade pode estar em reconhecer quando a ordem interessa.";"11-cont:Ordem:D11C";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"21";"M10G-1";"1";"10.º";"Geometria analítica";"Vetores";"mission | training | exam";"Aplicação";"2";"O vetor de A(−1,2) para B(3,5) é...";"(2,7)";"(4,3)";"(−4,−3)";"(3,5)";"B";"AB=(3−(−1),5−2)=(4,3).";"Pode haver dificuldade na subtração de coordenadas.";"10-ga:Vetores:M10G-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"22";"M11C-1";"1";"11.º";"Contagem";"Combinações";"mission | training | exam";"Aplicação";"2";"Quantas comissões de 3 pessoas podem ser escolhidas entre 7?";"21";"35";"210";"343";"B";"Sem cargos, a ordem não interessa: C(7,3)=35.";"Pode estar a usar uma contagem ordenada.";"11-cont:Combinações:M11C-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"23";"D12C-P";"1";"12.º";"Números complexos";"Forma algébrica";"diagnostic";"Compreensão";"1";"Qual é o conjugado de 2+3i?";"−2−3i";"2−3i";"−2+3i";"3+2i";"B";"O conjugado mantém a parte real e troca o sinal da parte imaginária.";"A dificuldade pode estar numa noção básica de números complexos.";"12-cplx:Forma algébrica:D12C";"fecha probe do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"24";"M12C-1";"1";"12.º";"Números complexos";"Forma algébrica";"mission | training | exam";"Aplicação";"2";"(2+i)+(1−3i) é...";"3−2i";"1−2i";"3+4i";"2−3i";"A";"Somam-se partes reais e imaginárias: 3−2i.";"Pode haver dificuldade em operar partes real e imaginária.";"12-cplx:Forma algébrica:M12C-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"25";"M11D-4";"1";"11.º";"Cálculo diferencial";"Derivadas";"mission | training | exam";"Procedimento";"2";"Qual é a derivada de f(x)=x³?";"x²";"2x";"3x²";"3x";"C";"Pela regra da potência, (x³)'=3x².";"Pode haver dificuldade numa regra básica de derivação.";"11-cd:Derivadas:M11D-4";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"26";"M12L-3";"1";"12.º";"Continuidade e derivabilidade";"Continuidade";"mission | training | exam";"Raciocínio";"3";"Se f é contínua em 3 e f(3)=7, então lim(x→3)f(x) é...";"0";"3";"7";"não existe";"C";"Pela continuidade, o limite é igual ao valor da função.";"Pode haver dificuldade em aplicar a definição de continuidade.";"12-fcont:Continuidade:M12L-3";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"27";"M12E-5";"1";"12.º";"Exponenciais e logaritmos";"Modelação";"mission | training | exam";"Raciocínio";"3";"Quanto vale 10^(log₁₀7)?";"1";"7";"10";"70";"B";"A exponencial de base 10 e o logaritmo de base 10 são funções inversas.";"Pode haver dificuldade na relação entre funções exponenciais e logarítmicas.";"12-expl:Modelação:M12E-5";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"28";"M12P-3";"1";"12.º";"Probabilidades";"Independência";"mission | training | exam";"Raciocínio";"3";"P(A)=0,4, P(B)=0,3 e P(A∩B)=0,12. A e B são...";"independentes";"incompatíveis";"complementares";"iguais";"A";"0,4×0,3=0,12, logo satisfazem o critério de independência.";"Pode haver dificuldade em aplicar o critério formal de independência.";"12-prob:Independência:M12P-3";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"29";"M11C-5";"1";"11.º";"Contagem";"Combinações";"mission | training | exam";"Aplicação";"3";"Quantos pares diferentes podem ser escolhidos entre 8 pessoas?";"16";"28";"56";"64";"B";"Como a ordem não interessa, C(8,2)=28.";"Pode haver confusão entre combinações e escolhas ordenadas.";"11-cont:Combinações:M11C-5";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"30";"M11T-1";"1";"11.º";"Trigonometria";"Razões trigonométricas";"mission | training | exam";"Aplicação";"2";"Se cos(x)=1/2 e x é agudo, então sin(x) é...";"1/2";"√3/2";"√2/2";"3/2";"B";"sin²x=1−1/4=3/4, logo sin(x)=√3/2.";"Pode faltar a identidade fundamental.";"11-trig:Razões trigonométricas:M11T-1";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"31";"M12C-2";"1";"12.º";"Números complexos";"Forma algébrica";"mission | training | exam";"Compreensão";"2";"Se z=−4+3i, então Re(z) é...";"3";"−4";"4";"−3";"B";"A parte real é −4.";"Pode haver dificuldade em identificar as componentes do número complexo.";"12-cplx:Forma algébrica:M12C-2";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"32";"BG12FC-ASS-1";"1";"12.º";"Continuidade e derivabilidade";"Assíntotas";"mission | training | exam";"Aplicação";"2";"Considere f(x)=(2x+1)/(x−3). Qual é uma assíntota vertical do gráfico de f?";"x=3";"y=3";"x=2";"y=2";"A";"O denominador anula-se em x=3 e o numerador não, logo x=3 é uma assíntota vertical.";"Pode existir dificuldade em distinguir assíntotas verticais de horizontais ou em analisar o denominador.";"12-fcont:Assíntotas:beta-gap-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"33";"M12L-4";"1";"12.º";"Continuidade e derivabilidade";"Assíntotas";"mission | training | exam";"Interpretação";"2";"A função f(x)=1/x tem uma assíntota vertical em...";"x=−1";"x=0";"x=1";"y=0";"B";"Quando x se aproxima de 0, 1/x cresce em módulo sem limite; x=0 é assíntota vertical.";"Pode haver dificuldade em relacionar comportamento limite e assíntotas.";"12-fcont:Assíntotas:M12L-4";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"34";"BG12FC-DER-1";"1";"12.º";"Continuidade e derivabilidade";"Derivabilidade";"mission | training | exam";"Compreensão";"2";"Se uma função f é derivável em x=2, qual das afirmações é necessariamente verdadeira?";"f é contínua em x=2";"f(2)=0";"f tem um máximo em x=2";"f'(2)=0";"A";"A derivabilidade num ponto implica continuidade nesse ponto. As restantes afirmações não são necessárias.";"Pode existir confusão entre derivabilidade, continuidade e a condição de extremo.";"12-fcont:Derivabilidade:beta-gap-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"35";"M12L-1";"1";"12.º";"Continuidade e derivabilidade";"Derivabilidade";"mission | training | exam";"Compreensão";"2";"Uma função derivável num ponto é necessariamente...";"contínua nesse ponto";"descontínua nesse ponto";"positiva nesse ponto";"crescente nesse ponto";"A";"Derivabilidade implica continuidade.";"Pode haver dificuldade na relação entre derivabilidade e continuidade.";"12-fcont:Derivabilidade:M12L-1";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"36";"M10F-1";"1";"10.º";"Funções";"Domínio e zeros";"mission | training | exam";"Aplicação";"2";"Para f(x)=2x−6, qual é o zero?";"−3";"0";"3";"6";"C";"2x−6=0 ⇔ x=3.";"Pode haver dificuldade em ligar o zero à equação f(x)=0.";"10-fun:Domínio e zeros:M10F-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"37";"M10F-3";"1";"10.º";"Funções";"Domínio e zeros";"mission | training | exam";"Raciocínio";"3";"Uma função tem zeros −2 e 5. Qual expressão tem necessariamente esses zeros?";"(x+2)(x−5)";"(x−2)(x+5)";"x²−7";"(x+2)(x+5)";"A";"Os fatores anulam-se em x=−2 e x=5.";"Pode faltar a ligação entre zeros e fatores.";"10-fun:Domínio e zeros:M10F-3";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"38";"M10F-4";"1";"10.º";"Funções";"Monotonia e extremos";"mission | training | exam";"Interpretação";"3";"A função f(x)=−(x−2)²+5 atinge o seu valor máximo quando...";"x=−2";"x=0";"x=2";"x=5";"C";"A parábola está na forma de vértice e tem máximo no vértice, x=2.";"Pode haver dificuldade em interpretar a forma de vértice de uma função quadrática.";"10-fun:Monotonia e extremos:M10F-4";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"39";"M11D-2";"1";"11.º";"Cálculo diferencial";"Monotonia e extremos";"mission | training | exam";"Interpretação";"2";"Se f'(x)<0 num intervalo, então f é...";"crescente";"decrescente";"constante";"sempre negativa";"B";"Derivada negativa implica função decrescente.";"Pode haver dificuldade em interpretar o sinal da derivada.";"11-cd:Monotonia e extremos:M11D-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"40";"M11D-3";"1";"11.º";"Cálculo diferencial";"Monotonia e extremos";"mission | training | exam";"Raciocínio";"3";"Se f'(2)=0 e f' muda de positivo para negativo em x=2, então x=2 corresponde a...";"um mínimo local";"um máximo local";"um ponto sem extremo";"uma assíntota";"B";"A passagem de crescente para decrescente indica um máximo local.";"Pode haver dificuldade na análise de sinal e extremos.";"11-cd:Monotonia e extremos:M11D-3";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"41";"M12L-2";"1";"12.º";"Continuidade e derivabilidade";"Limites";"mission | training | exam";"Interpretação";"2";"Se lim(x→2−)f(x)=1 e lim(x→2+)f(x)=4, então lim(x→2)f(x)...";"vale 2,5";"vale 1";"vale 4";"não existe";"D";"Os limites laterais são diferentes, logo o limite não existe.";"Pode haver dificuldade na leitura dos limites laterais.";"12-fcont:Limites:M12L-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"42";"M12L-5";"1";"12.º";"Continuidade e derivabilidade";"Limites";"mission | training | exam";"Aplicação";"2";"Quanto vale lim(x→2)(x²+1)?";"3";"4";"5";"não existe";"C";"Sendo um polinómio contínuo, basta substituir: 2²+1=5.";"Pode haver dificuldade em calcular limites de funções contínuas.";"12-fcont:Limites:M12L-5";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"43";"BG12E-EXP-1";"1";"12.º";"Exponenciais e logaritmos";"Exponenciais";"mission | training | exam";"Aplicação";"2";"Se f(x)=3·2ˣ, qual é o valor de f(x+1)/f(x)?";"1";"2";"3";"6";"B";"f(x+1)=3·2^(x+1)=2·3·2^x=2f(x), logo f(x+1)/f(x)=2.";"Pode existir dificuldade em aplicar propriedades de potências numa função exponencial.";"12-expl:Exponenciais:beta-gap-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"44";"M12E-1";"1";"12.º";"Exponenciais e logaritmos";"Equações";"mission | training | exam";"Aplicação";"2";"A solução de 3^x=27 é...";"2";"3";"9";"27";"B";"27=3³, logo x=3.";"Pode haver dificuldade em reconhecer potências equivalentes.";"12-expl:Equações:M12E-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"45";"M12E-3";"1";"12.º";"Exponenciais e logaritmos";"Equações";"mission | training | exam";"Raciocínio";"3";"Se log₁₀(x)=2, então x é...";"20";"100";"2";"0,01";"B";"x=10²=100.";"Pode haver dificuldade em passar da forma logarítmica para a exponencial.";"12-expl:Equações:M12E-3";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"46";"M12E-2";"1";"12.º";"Exponenciais e logaritmos";"Logaritmos";"mission | training | exam";"Aplicação";"2";"log₂(8) vale...";"2";"3";"4";"8";"B";"2³=8, por isso log₂(8)=3.";"Pode haver dificuldade na definição de logaritmo.";"12-expl:Logaritmos:M12E-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"47";"M12E-4";"1";"12.º";"Exponenciais e logaritmos";"Logaritmos";"mission | training | exam";"Conhecimento";"2";"Quanto vale ln(e³)?";"e";"3";"ln(3)";"9";"B";"ln e³=3.";"Pode faltar a relação inversa entre exponencial e logaritmo natural.";"12-expl:Logaritmos:M12E-4";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"48";"M12P-1";"1";"12.º";"Probabilidades";"Probabilidade condicionada";"mission | training | exam";"Aplicação";"2";"40% compram café e 10% compram café e bolo. Sabendo que compra café, P(comprar bolo) é...";"10%";"25%";"40%";"50%";"B";"10%/40%=25%.";"Pode estar a usar diretamente a interseção sem condicionar.";"12-prob:Probabilidade condicionada:M12P-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"49";"M12P-4";"1";"12.º";"Probabilidades";"Acontecimentos";"mission | training | exam";"Aplicação";"3";"P(A)=0,4, P(B)=0,5 e P(A∩B)=0,2. Quanto vale P(A∪B)?";"0,2";"0,7";"0,9";"1,1";"B";"P(A∪B)=0,4+0,5−0,2=0,7.";"Pode haver dificuldade na fórmula da união ou em descontar a interseção.";"12-prob:Acontecimentos:M12P-4";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"50";"M10G-2";"1";"10.º";"Geometria analítica";"Coordenadas";"mission | training | exam";"Aplicação";"2";"A distância entre (0,0) e (3,4) é...";"5";"7";"12";"25";"A";"d=√(3²+4²)=5.";"Pode haver dificuldade na fórmula da distância ou no Teorema de Pitágoras.";"10-ga:Coordenadas:M10G-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"51";"M10G-3";"1";"10.º";"Geometria analítica";"Coordenadas";"mission | training | exam";"Raciocínio";"3";"Se o ponto M(2,1) é o ponto médio de A(0,0) e B(x,y), então B é...";"(1,0,5)";"(4,2)";"(2,1)";"(−4,−2)";"B";"(x/2,y/2)=(2,1), logo x=4 e y=2.";"Pode haver dificuldade em inverter a relação do ponto médio.";"10-ga:Coordenadas:M10G-3";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"52";"M10G-4";"1";"10.º";"Geometria analítica";"Retas e planos";"mission | training | exam";"Aplicação";"3";"Qual é o declive da reta que passa por (1,2) e (3,6)?";"1";"2";"3";"4";"B";"m=(6−2)/(3−1)=4/2=2.";"Pode haver dificuldade no cálculo do declive a partir de dois pontos.";"10-ga:Retas e planos:M10G-4";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"53";"M10G-5";"1";"10.º";"Geometria analítica";"Retas e planos";"mission | training | exam";"Compreensão";"2";"Qual das equações representa uma reta de declive 2 que passa na origem?";"y=x+2";"y=2x";"y=2";"x=2y";"B";"Uma reta pela origem tem ordenada na origem 0: y=2x.";"Pode haver dificuldade em relacionar declive e equação reduzida da reta.";"10-ga:Retas e planos:M10G-5";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"54";"M11C-2";"1";"11.º";"Contagem";"Princípio multiplicativo";"mission | training | exam";"Aplicação";"2";"Um código tem 2 algarismos, com repetição permitida. Quantos códigos existem?";"20";"90";"100";"10";"C";"Há 10 opções em cada posição: 10×10=100.";"Pode estar a somar possibilidades de etapas sucessivas.";"11-cont:Princípio multiplicativo:M11C-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"55";"M11C-3";"1";"11.º";"Contagem";"Ordem";"mission | training | exam";"Raciocínio";"3";"Entre 6 pessoas escolhem-se presidente e vice. Quantos resultados diferentes existem?";"15";"30";"36";"12";"B";"As funções são distintas: 6×5=30.";"Pode não reconhecer que a ordem/função interessa.";"11-cont:Ordem:M11C-3";"1.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"56";"M11C-4";"1";"11.º";"Contagem";"Ordem";"mission | training | exam";"Aplicação";"2";"De quantas maneiras podem ser ordenados 4 livros diferentes numa prateleira?";"4";"8";"16";"24";"D";"São 4! = 24 ordenações.";"Pode haver dificuldade em reconhecer uma permutação.";"11-cont:Ordem:M11C-4";"2.ª evidência de foco crítico · novo item independente para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
